entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-02-07 09:00:00,2024-02-07 09:00:00,direct_entry,2024-02-14 16:00:00,expiry,177.5000,187.5000,2.3069,0.3450,1.9619,0.0000,0.0000,1.9619
2024-02-23 11:00:00,2024-02-23 11:00:00,direct_entry,2024-03-06 16:00:00,expiry,187.5000,200.0000,3.5137,0.6832,2.8305,2.0400,0.0000,0.7905
2024-03-06 09:00:00,2024-03-06 09:00:00,direct_entry,2024-03-13 16:00:00,expiry,190.0000,202.5000,3.3049,0.4010,2.9039,1.3800,0.0000,1.5239
2024-03-21 13:00:00,2024-03-21 13:00:00,direct_entry,2024-04-03 16:00:00,expiry,202.5000,217.5000,3.8186,0.6401,3.1786,0.0000,0.0000,3.1786
2024-05-10 08:00:00,2024-05-10 08:00:00,direct_entry,2024-05-22 16:00:00,expiry,200.0000,215.0000,4.3853,0.7334,3.6519,0.0000,0.0000,3.6519
2024-05-15 09:00:00,2024-05-15 09:00:00,direct_entry,2024-05-22 16:00:00,expiry,205.0000,215.0000,2.6946,0.5440,2.1505,0.0000,0.0000,2.1505
2024-05-22 11:00:00,2024-05-22 11:00:00,direct_entry,2024-05-29 16:00:00,expiry,202.5000,212.5000,2.6564,0.5191,2.1373,0.0000,0.0000,2.1373
2024-07-01 08:00:00,2024-07-01 08:00:00,direct_entry,2024-07-10 16:00:00,expiry,205.0000,217.5000,3.7697,0.7006,3.0692,2.7500,0.0000,0.3192
2024-07-03 08:00:00,2024-07-03 08:00:00,direct_entry,2024-07-10 16:00:00,expiry,212.5000,222.5000,2.8827,0.6321,2.2506,0.0000,0.0000,2.2506
2024-07-16 19:00:00,2024-07-16 19:00:00,direct_entry,2024-07-24 16:00:00,expiry,217.5000,230.0000,3.0206,0.4790,2.5416,0.0000,0.0000,2.5416
2024-07-17 17:00:00,2024-07-17 17:00:00,direct_entry,2024-07-24 16:00:00,expiry,220.0000,232.5000,3.1177,0.4582,2.6595,0.0000,0.0000,2.6595
2024-08-23 11:00:00,2024-08-23 11:00:00,direct_entry,2024-09-04 16:00:00,expiry,222.5000,237.5000,3.8177,0.6975,3.1202,0.0000,0.0000,3.1202
2024-08-26 09:00:00,2024-08-26 09:00:00,direct_entry,2024-09-04 16:00:00,expiry,222.5000,235.0000,3.4152,0.6806,2.7346,0.0000,0.0000,2.7346
2024-08-30 11:00:00,2024-08-30 11:00:00,direct_entry,2024-09-11 16:00:00,expiry,227.5000,242.5000,4.0296,0.7799,3.2497,0.0000,0.0000,3.2497
2024-09-19 11:00:00,2024-09-19 11:00:00,direct_entry,2024-10-02 16:00:00,expiry,212.5000,230.0000,4.7049,0.6841,4.0207,0.0000,0.0000,4.0207
2024-09-24 11:00:00,2024-09-24 11:00:00,direct_entry,2024-10-02 16:00:00,expiry,215.0000,227.5000,3.1529,0.5195,2.6333,0.0000,0.0000,2.6333
2024-11-25 09:00:00,2024-11-25 09:00:00,direct_entry,2024-12-04 16:00:00,expiry,255.0000,270.0000,4.0360,0.7465,3.2894,0.0000,0.0000,3.2894
2024-11-29 12:00:00,2024-11-29 12:00:00,direct_entry,2024-12-11 16:00:00,expiry,255.0000,272.5000,4.6224,0.8340,3.7884,0.0000,0.0000,3.7884
2025-01-06 09:00:00,2025-01-06 09:00:00,direct_entry,2025-01-15 16:00:00,expiry,247.5000,262.5000,4.0721,0.7227,3.3494,4.0200,0.0000,-0.6706
2025-03-26 11:00:00,2025-03-26 11:00:00,direct_entry,2025-04-02 16:00:00,expiry,255.0000,270.0000,3.9375,0.5783,3.3591,0.0000,0.0000,3.3591
2025-05-13 15:00:00,2025-05-13 15:00:00,direct_entry,2025-05-21 16:00:00,expiry,267.5000,282.5000,3.8031,0.6544,3.1487,0.0000,0.0000,3.1487
2025-06-26 08:00:00,2025-06-26 08:00:00,direct_entry,2025-07-09 16:00:00,expiry,290.0000,312.5000,5.7841,0.9161,4.8681,0.0000,0.0000,4.8681
2025-07-02 08:00:00,2025-07-02 08:00:00,direct_entry,2025-07-09 16:00:00,expiry,295.0000,310.0000,4.4500,0.8879,3.5621,0.0000,0.0000,3.5621
2025-07-14 19:00:00,2025-07-14 19:00:00,direct_entry,2025-07-23 16:00:00,expiry,292.5000,310.0000,4.7226,0.8210,3.9016,3.9000,0.0000,0.0016
2025-07-15 07:00:00,2025-07-15 07:00:00,direct_entry,2025-07-23 16:00:00,expiry,292.5000,307.5000,4.2035,0.8912,3.3123,3.9000,0.0000,-0.5877
2025-09-17 12:00:00,2025-09-17 12:00:00,direct_entry,2025-09-24 16:00:00,expiry,315.0000,332.5000,4.4455,0.7040,3.7415,0.0000,0.0000,3.7415
2025-09-18 05:00:00,2025-09-18 05:00:00,direct_entry,2025-10-01 16:00:00,expiry,317.5000,342.5000,6.5267,1.0253,5.5014,0.0000,0.0000,5.5014
2025-12-23 14:00:00,2025-12-23 14:00:00,direct_entry,2025-12-31 16:00:00,expiry,330.0000,350.0000,5.5475,0.8845,4.6630,0.0000,0.0000,4.6630
